id,code,name,hex
150,150,Dusty Rose Ult Vy Dk,#ab0249
151,151,Dusty Rose Vry Lt,#f0ced4
152,152,Shell Pink Med Light,#e2a099
153,153,Violet Very Light,#e6ccd9
154,154,Grape Very Dark,#572433
155,155,Blue Violet Med Dark,#9891b6
156,156,Blue Violet Med Lt,#a3aed1
157,157,Cornflower Blue Vy Lt,#bbc3d9
158,158,Cornflower Blu M V D,#4c526e
159,159,Blue Gray Light,#c7cad7
160,160,Blue Gray Medium,#999fb7
161,161,Blue Gray,#7880a4
162,162,Blue Ultra Very Light,#dbecf5
163,163,Celadon Green Md,#4d8361
164,164,Forest Green Lt,#c8d8b8
165,165,Moss Green Vy Lt,#eff4a4
166,166,Moss Green Md Lt,#c0c840
167,167,Yellow Beige V Dk,#a77c49
168,168,Pewter Very Light,#d1d1d1
169,169,Pewter Light,#848484
208,208,Lavender Very Dark,#835b8b
209,209,Lavender Dark,#a37ba7
210,210,Lavender Medium,#c39fc3
211,211,Lavender Light,#e3cbe3
221,221,Shell Pink Vy Dk,#883e43
223,223,Shell Pink Light,#cc847c
224,224,Shell Pink Very Light,#ebb7af
225,225,Shell Pink Ult Vy Lt,#ffdfd5
300,300,Mahogany Vy Dk,#6f2f00
301,301,Mahogany Med,#b35f2b
304,304,Red Medium,#b71f33
307,307,Lemon,#fded54
309,309,Rose Dark,#d62b5b
310,310,Black,#000000
311,311,Wedgewood Ult VyDk,#1c5066
312,312,Baby Blue Very Dark,#35668b
315,315,Antique Mauve Md Dk,#814952
316,316,Antique Mauve Med,#b7737f
317,317,Pewter Gray,#6c6c6c
318,318,Steel Gray Lt,#ababab
319,319,Pistachio Grn Vy Dk,#205f2e
320,320,Pistachio Green Med,#69885a
321,321,Red,#c72b3b
322,322,Baby Blue Dark,#5a8fb8
326,326,Rose Very Dark,#b33b4b
327,327,Violet Dark,#633666
333,333,Blue Violet Very Dark,#5c5478
334,334,Baby Blue Medium,#739fc1
335,335,Rose,#ee546e
336,336,Navy Blue,#253b73
340,340,Blue Violet Medium,#ada7c7
341,341,Blue Violet Light,#b7bfdd
347,347,Salmon Very Dark,#bf2d2d
349,349,Coral Dark,#d21035
350,350,Coral Medium,#e04848
351,351,Coral,#e96a67
352,352,Coral Light,#fd9c97
353,353,Peach,#fed7cc
355,355,Terra Cotta Dark,#984436
356,356,Terra Cotta Med,#c56a5b
367,367,Pistachio Green Dk,#617a52
368,368,Pistachio Green Lt,#a6c298
369,369,Pistachio Green Vy Lt,#d7edcc
370,370,Mustard Medium,#b89d64
371,371,Mustard,#bfa671
372,372,Mustard Lt,#ccb784
400,400,Mahogany Dark,#8f430f
402,402,Mahogany Vy Lt,#f7a777
407,407,Desert Sand Med,#bb8161
413,413,Pewter Gray Dark,#565656
414,414,Steel Gray Dk,#8c8c8c
415,415,Pearl Gray,#d3d3d6
420,420,Hazelnut Brown Dk,#a07042
422,422,Hazelnut Brown Lt,#c69f7b
433,433,Brown Med,#7a451f
434,434,Brown Light,#985e33
435,435,Brown Very Light,#b87748
436,436,Tan,#cb9051
437,437,Tan Light,#e4bb8e
444,444,Lemon Dark,#ffd600
445,445,Lemon Light,#fffb8b
451,451,Shell Gray Dark,#917b73
452,452,Shell Gray Med,#c0b3ae
453,453,Shell Gray Light,#d7cecb
469,469,Avocado Green,#72843c
470,470,Avocado Grn Lt,#94ab4f
471,471,Avocado Grn V Lt,#aebf79
472,472,Avocado Grn U Lt,#d8e498
498,498,Red Dark,#a7132b
500,500,Blue Green Vy Dk,#044d33
501,501,Blue Green Dark,#396f52
502,502,Blue Green,#5b9071
503,503,Blue Green Med,#7bac94
504,504,Blue Green Vy Lt,#c4decc
505,505,Jade Green,#338362
517,517,Wedgewood Dark,#3b768f
518,518,Wedgewood Light,#4f93a7
519,519,Sky Blue,#7eb1c8
520,520,Fern Green Dark,#666d4f
522,522,Fern Green,#969e7e
523,523,Fern Green Lt,#abb197
524,524,Fern Green Vy Lt,#c4cdac
535,535,Ash Gray Vy Lt,#636458
543,543,Beige Brown Ult Vy Lt,#f2e3ce
550,550,Violet Very Dark,#5c184e
552,552,Violet  Medium,#803a6b
553,553,Violet,#a3638b
554,554,Violet Light,#dbb3cb
561,561,Celadon Green VD,#2c6a45
562,562,Jade Medium,#53976a
563,563,Jade Light,#8fc098
564,564,Jade Very Light,#a7cdaf
580,580,Moss Green Dk,#888d33
581,581,Moss Green,#a7ae38
597,597,Turquoise,#5ba3b3
598,598,Turquoise Light,#90c3cc
600,600,Cranberry Very Dark,#cd2f63
601,601,Cranberry Dark,#d1286a
602,602,Cranberry Medium,#e24874
603,603,Cranberry,#ffa4be
604,604,Cranberry Light,#ffb0be
605,605,Cranberry Very Light,#ffc0cd
606,606,Orange?Red Bright,#fa3203
608,608,Burnt Orange Bright,#fd5d35
610,610,Drab Brown Dk,#796047
611,611,Drab Brown,#967656
612,612,Drab Brown Lt,#bc9a78
613,613,Drab Brown V Lt,#dcc4aa
632,632,Desert Sand Ult Vy Dk,#875539
640,640,Beige Gray Vy Dk,#857b61
642,642,Beige Gray Dark,#a49878
644,644,Beige Gray Med,#ddd8cb
645,645,Beaver Gray Vy Dk,#6e655c
646,646,Beaver Gray Dk,#877d73
647,647,Beaver Gray Med,#b0a69c
648,648,Beaver Gray Lt,#bcb4ac
666,666,Bright Red,#e31d42
676,676,Old Gold Lt,#e5ce97
677,677,Old Gold Vy Lt,#f5eccb
680,680,Old Gold Dark,#bc8d0e
699,699,Green,#056517
700,700,Green Bright,#07731b
701,701,Green Light,#3f8f29
702,702,Kelly Green,#47a72f
703,703,Chartreuse,#7bb547
704,704,Chartreuse Bright,#9ecf34
712,712,Cream,#fffbef
718,718,Plum,#9c2462
720,720,Orange Spice Dark,#e55c1f
721,721,Orange Spice Med,#f27842
722,722,Orange Spice Light,#f7976f
725,725,Topaz Med Lt,#ffc840
726,726,Topaz Light,#fdd755
727,727,Topaz Vy Lt,#fff1af
728,728,Topaz,#e4b468
729,729,Old Gold Medium,#d0a53e
730,730,Olive Green V Dk,#827b30
731,731,Olive Green Dk,#938b37
732,732,Olive Green,#948c36
733,733,Olive Green Md,#bcb34c
734,734,Olive Green Lt,#c7c077
738,738,Tan Very Light,#eccc9e
739,739,Tan Ult Vy Lt,#f8e4c8
740,740,Tangerine,#ff8b00
741,741,Tangerine Med,#ffa32b
742,742,Tangerine Light,#ffbf57
743,743,Yellow Med,#fed376
744,744,Yellow Pale,#ffe793
745,745,Yellow Pale Light,#ffe9ad
746,746,Off White,#fcfcee
747,747,Peacock Blue Vy Lt,#e5fcfd
754,754,Peach Light,#f7cbbf
758,758,Terra Cotta Vy Lt,#eeaa9b
760,760,Salmon,#f5adad
761,761,Salmon Light,#ffc9c9
762,762,Pearl Gray Vy Lt,#ececec
772,772,Yellow Green Vy Lt,#e4ecd4
775,775,Baby Blue Very Light,#d9ebf1
777,777,Raspberry Very Dark,#913546
778,778,Antique Mauve Vy Lt,#dfb3bb
779,779,Cocoa Dark,#624b45
780,780,Topaz Ultra Vy Dk,#94631a
