id_dmc,hex_code,family_dmc,family_new,name_dmc,name_maxx,updated_dt
150,#ab0249,red,pink,Raspberry,Dusty Rose Ultra Very Dark,5/7/2026
21,#d79982,red,red,Prosciutto,Alizarin Light,5/7/2026
22,#bc604e,red,red,Ruby,Alizarin,5/7/2026
221,#883e43,red,red,Mars Red,Shell Pink Very Dark,5/7/2026
304,#b71f33,red,red,Chinese Lacquer,Red Medium,5/7/2026
309,#d62b5b,red,pink,Crushed Raspberry,Rose Dark,5/7/2026
321,#c72b3b,red,red,Metallic Carmine Red,Red,5/7/2026
326,#b33b4b,red,red,Rhubarb,Rose Very Dark,5/7/2026
3328,#e36d6d,red,red,Amaranth,Salmon Dark,5/7/2026
3340,#ff836f,red,orange,Hot Peach,Apricot Medium,5/7/2026
3350,#bc4365,red,pink,Dragonfruit,Dusty Rose Ultra Dark,5/7/2026
347,#bf2d2d,red,red,Egyptian Red,Salmon Very Dark,5/7/2026
349,#d21035,red,red,Red Pepper,Coral Dark,5/7/2026
350,#e04848,red,red,Vermillion,Coral Medium,5/7/2026
351,#e96a67,red,red,Coral,Coral,5/7/2026
3685,#881531,red,red,Metallic Bramble,Mauve Very Dark,5/7/2026
3705,#ff7992,red,pink,Guava,Melon Dark,5/7/2026
3801,#e74967,red,pink,Tulip Red,Melon Very Dark,5/7/2026
3831,#b32f48,red,red,Wild Strawberry,Raspberry Dark,5/7/2026
3832,#db556e,red,pink,Strawberry,Raspberry Medium,5/7/2026
498,#a7132b,red,red,Red Kiss,Red Dark,5/7/2026
600,#cd2f63,red,pink,Radish,Cranberry Very Dark,5/7/2026
606,#fa3203,red,orange,Bright Red,Orange Red Bright,5/7/2026
608,#fd5d35,red,orange,Poppy,Burnt Orange Bright,5/7/2026
666,#e31d42,red,red,Scarlet,Bright Red,5/7/2026
720,#e55c1f,red,orange,Rust,Orange Spice Dark,5/7/2026
777,#913546,red,red,Wine,Raspberry Very Dark,5/7/2026
814,#7b001b,red,red,Vin Rouge,Garnet Dark,5/7/2026
815,#87071f,red,red,Metallic Black Cherry,Garnet Medium,5/7/2026
816,#970b23,red,red,Cherry Red,Garnet,5/7/2026
817,#bb051f,red,red,Japanese Red,Coral Red Very Dark,5/7/2026
891,#ff5773,red,pink,Geranium,Carnation Dark,5/7/2026
893,#fc90a2,red,pink,Dahlia,Carnation Light,5/7/2026
900,#d15807,red,orange,Blood Orange,Burnt Orange Dark,5/7/2026
902,#822637,red,red,Magenta Red,Garnet Very Dark,5/7/2026
918,#82340a,red,brown,Rosewood,Red Copper Dark,5/7/2026
919,#a64510,red,brown,Terracotta Brown,Red Copper,5/7/2026
920,#ac5414,red,brown,Sienna Ochre,Copper Medium,5/7/2026
921,#c66218,red,orange,Tuscan Ochre,Copper,5/7/2026
946,#eb6307,red,orange,Fire,Burnt Orange Medium,5/7/2026
947,#ff7b4d,red,orange,Sunset,Burnt Orange,5/7/2026
223,#cc847c,PINK,pink,Granite Pink,Shell Pink Light,5/7/2026
224,#ebb7af,PINK,pink,Earthworm,Shell Pink Very Light,5/7/2026
225,#ffdfd5,PINK,pink,Cherry Blossom,Shell Pink Ultra Very Light,5/7/2026
23,#ede2ed,PINK,purple,Sakura,Apple Blossom,5/7/2026
3326,#fbadb4,PINK,pink,Wild Rose,Rose Light,5/7/2026
335,#ee546e,PINK,pink,Dark Pink,Rose,5/7/2026
3354,#e4a6ac,PINK,pink,Baker Miller Pink,Dusty Rose Light,5/7/2026
353,#fed7cc,PINK,pink,Ballet Slippers,Peach,5/7/2026
3689,#fbbfc2,PINK,pink,Pale Orchid,Mauve Light,5/7/2026
3706,#ffadbc,PINK,pink,Flamingo,Melon Medium,5/7/2026
3708,#ffcbd5,PINK,pink,Azalea,Melon Light,5/7/2026
3712,#f18787,PINK,pink,Blush,Salmon Medium,5/7/2026
3713,#ffe2e2,PINK,pink,Rose Quartz,Salmon Very Light,5/7/2026
3716,#ffbdbd,PINK,pink,Peony,Dusty Rose Medium Very Light,5/7/2026
3731,#da6783,PINK,pink,Pink Pepper,Dusty Rose Very Dark,5/7/2026
3733,#e8879b,PINK,pink,Pink Hollyhock,Dusty Rose,5/7/2026
3824,#fecdc2,PINK,pink,Strawberry Chew,Apricot Light,5/7/2026
3833,#ea8699,PINK,pink,Strawberry Sorbet,Raspberry Light,5/7/2026
602,#e24874,PINK,pink,Pink Verbena,Cranberry Medium,5/7/2026
603,#ffa4be,PINK,pink,Macaroon Pink,Cranberry,5/7/2026
604,#ffb0be,PINK,pink,Pink Hyacinth,Cranberry Light,5/7/2026
760,#f5adad,PINK,pink,Dusty Pink,Salmon,5/7/2026
761,#ffc9c9,PINK,pink,Rose Dawn,Salmon Light,5/7/2026
778,#dfb3bb,PINK,pink,Amethyst Haze,Antique Mauve Very Light,5/7/2026
818,#ffdfd9,PINK,pink,Pearlescent Powder Pink,Baby Pink,5/7/2026
894,#ffb2bb,PINK,pink,Rose,Carnation Very Light,5/7/2026
899,#f27688,PINK,pink,Watermelon,Rose Medium,5/7/2026
956,#ff9191,PINK,pink,Hot Pink,Geranium,5/7/2026
957,#fdb5b5,PINK,pink,Bubblegum Pink,Geranium Pale,5/7/2026
961,#cf7373,PINK,pink,Rose Garden,Dusty Rose Dark,5/7/2026
962,#e68a8a,PINK,pink,Antique Rose,Dusty Rose Medium,5/7/2026
963,#ffd7d7,PINK,pink,Candy Pink,Dusty Rose Ultra Very Light,5/7/2026
967,#ffded5,PINK,pink,Pearlescent Tutu,Apricot Very Light,5/7/2026
153,#e6ccd9,purple,purple,Pink Lilac,Violet Very Light,5/7/2026
154,#572433,purple,purple,Prune,Grape Very Dark,5/7/2026
155,#9891b6,purple,purple,Metallic Mauve,Blue Violet Medium Dark,5/7/2026
156,#a3aed1,purple,purple,Cornflower Blue,Blue Violet Medium Light,5/7/2026
208,#835b8b,purple,purple,Pansy,Lavender Very Dark,5/7/2026
209,#a37ba7,purple,purple,Lilac,Lavender Dark,5/7/2026
210,#c39fc3,purple,purple,Parma Violet,Lavender Medium,5/7/2026
211,#e3cbe3,purple,purple,Pearlescent Light Parma Violet,Lavender Light,5/7/2026
24,#e0d7ee,purple,purple,Heather White,White Lavender,5/7/2026
25,#dad2e9,purple,purple,Cornflower White,Lavender Ultra Light,5/7/2026
26,#d7cae6,purple,purple,Lavender White,Lavender Pale,5/7/2026
30,#7d77a5,purple,purple,Kitten Gray,Blueberry Medium Light,5/7/2026
3041,#956f7c,purple,purple,Purple Slate,Antique Violet Medium,5/7/2026
3042,#b79da7,purple,purple,Storm Clouds,Antique Violet Light,5/7/2026
31,#50518d,purple,purple,Dusty Violet,Blueberry,5/7/2026
315,#814952,purple,purple,Archil,Antique Mauve Medium Dark,5/7/2026
316,#b7737f,purple,purple,Metallic Heather,Antique Mauve Medium,5/7/2026
32,#4d2e8a,purple,purple,Antique Mauve,Blueberry Dark,5/7/2026
327,#633666,purple,purple,Dark Purple,Violet Dark,5/7/2026
33,#9c599c,purple,purple,Allium,Fuschia,5/7/2026
333,#5c5478,purple,purple,Violet Blue,Blue Violet Very Dark,5/7/2026
34,#7d3064,purple,purple,Tyrian,Fuschia Dark,5/7/2026
340,#ada7c7,purple,purple,Wisteria Blue,Blue Violet Medium,5/7/2026
35,#46052d,purple,purple,Plum,Fuschia Very Dark,5/7/2026
3607,#c54989,purple,purple,Hibiscus,Plum Light,5/7/2026
3608,#ea9cc4,purple,purple,Foxglove,Plum Very Light,5/7/2026
3609,#f4aed5,purple,purple,Lotus Blossom,Plum Ultra Light,5/7/2026
3687,#c96b70,purple,purple,Berry Smoothie,Mauve,5/7/2026
3688,#e7a9ac,purple,pink,Pink Lupine,Mauve Medium,5/7/2026
3722,#bc6c64,purple,pink,Dark Rosewood,Shell Pink Medium,5/7/2026
3726,#9b5b66,purple,purple,Iced Plum,Antique Mauve Dark,5/7/2026
3727,#dba9b2,purple,purple,Lycee,Antique Mauve Light,5/7/2026
3740,#785762,purple,purple,Gun Metal,Antique Violet Dark,5/7/2026
3743,#d7cbd3,purple,purple,Rose Mist,Antique Violet Very Light,5/7/2026
3802,#714149,purple,purple,Aubergine,Antique Mauve Very Darkv,5/7/2026
3803,#ab3357,purple,pink,Bordeaux,Mauve Dark,5/7/2026
3804,#e02876,purple,pink,Bengal Rose,Cyclamen Pink Dark,5/7/2026
3805,#f3478b,purple,pink,Fuschia,Cyclamen Pink,5/7/2026
3806,#ff8cae,purple,pink,Carnation,Cyclamen Pink Light,5/7/2026
3834,#72375d,purple,purple,Red Grape,Grape Dark,5/7/2026
3835,#946083,purple,purple,Purple Violet,Grape Medium,5/7/2026
3836,#ba91aa,purple,purple,Thyme Flower,Grape Light,5/7/2026
3837,#6c3a6e,purple,purple,Metallic Purple,Lavender Ultra Dark,5/7/2026
550,#5c184e,purple,purple,Passionflower,Violet Very Dark,5/7/2026
552,#803a6b,purple,purple,Violet,Violet Medium,5/7/2026
553,#a3638b,purple,purple,Violet Amethyst,Violet,5/7/2026
554,#dbb3cb,purple,purple,Pastel Purple,Violet Light,5/7/2026
718,#9c2462,purple,purple,Metallic Rose Magenta,Plum,5/7/2026
915,#820043,purple,purple,Bougainvillea,Plum Dark,5/7/2026
917,#9b1359,purple,purple,Dark Magenta,Plum Medium,5/7/2026
157,#bbc3d9,blue,blue,Heliotrope,Cornflower Blue Very Light,5/7/2026
158,#4c526e,blue,blue,Ultramarine Blue,Cornflower Blue Very Dark,5/7/2026
